Rank,Roller Coaster Rides,lat,lng,rating,dataset
8, Sand Serpent,28.0385309,-82.42240780000002,4,rides_Bush_gardens_Fl
7, Cobra's Curse,28.0343683,-82.4188559,4.4,rides_Bush_gardens_Fl
6, Kumba,28.039545,-82.42307129999999,4.6,rides_Bush_gardens_Fl
5, Scorpion,28.0376348,-82.423307,3.8,rides_Bush_gardens_Fl
4, Montu,28.0343686,-82.41817089999999,4.8,rides_Bush_gardens_Fl
3, Cheetah Hunt,28.0340928,-82.420025,4.8,rides_Bush_gardens_Fl
2, SheiKra,28.0366678,-82.42494549999999,4.8,rides_Bush_gardens_Fl
1, Falcon's Fury,28.0376443,-82.42275149999999,4.7,rides_Bush_gardens_Fl
