title,ride,weightedrank
1, Falcon's Fury,8
2, SheiKra,7
3, Cheetah Hunt,6
4, Montu,5
5, Scorpion,4
6, Kumba,3
7, Cobra's Curse,2
8, Sand Serpent,1
